bids_subject	activity_acute_left-DLPFC	activity_acute_left-IFGorb	activity_acute_left-PTL	activity_acute_left-SMA	activity_acute_right-DLPFC	activity_acute_right-IFGorb	activity_subacute_left-DLPFC	activity_subacute_left-IFGorb	activity_subacute_left-PTL	activity_subacute_left-SMA	activity_subacute_right-DLPFC	activity_subacute_right-IFGorb	activity_early-chronic_left-DLPFC	activity_early-chronic_left-IFGorb	activity_early-chronic_left-PTL	activity_early-chronic_left-SMA	activity_early-chronic_right-DLPFC	activity_early-chronic_right-IFGorb	
sub-01	0.02163241879268992	0.22249492452600808	0.21783676307751815	0.2673546665163634	0.33006676079748004	0.2567826871717206	0.011096984344599426	0.2787390728889951	0.024515825010591793	0.22427333653311113	0.2597810782859521	0.395123734235372	0.0470945169347351	0.4456172221311595	0.003922931657471022	-0.014101829143429985	0.05203238907954556	-0.18878858440469828	
sub-02	0.9981615288966719	-0.6414669523287712	-0.02644431558997734	1.0777365924982854	0.2556357493752568	-1.1732943590379326	0.21861667123506084	0.5296111328701621	0.5118768071802361	0.17725910094147362	0.36451362296078893	0.08641789971578956	0.11813869983856348	0.4942510442020949	0.3942511900419279	0.20784965942907196	0.21836541551977218	0.5423514053655449	
sub-03	0.17806015338299117	0.1439375874667371	-0.0253786535111596	0.1312476222695971	-0.024844171365311946	0.09643863782360564	0.08224111890554149	0.1860340918405792	0.06458394824630888	0.48505530794747664	0.205881555190314	0.16300852974114033	0.2732701582679206	-0.11079837811746758	-0.10033636417297107	-0.28263526369677106	-0.19273017068726186	-0.2206948188469909	
sub-04	-0.0030183644314553423	0.7720700422572041	0.5535570111552776	0.3976604694455096	0.03856685824433386	0.0631594570778801	0.2461399165577205	0.36458978976225254	0.4481173747318113	0.38730725131805893	0.4081210744825147	0.5257261851118133	-0.3687222402554077	-0.18130499662804037	-0.27137364423920984	-0.4288455701880303	-0.6153631054092669	-0.07240116468225037	
sub-05	0.011425112874474213	-0.1619764930591079	0.014850035242945293	0.126668614092337	-0.05472446661400153	-0.032970986984705276	0.04795751258418449	0.21756367361443046	0.10961977613089757	0.24267279765948177	-0.0857652833305497	0.009993933300196343	0.06790804222705914	-0.19907409188764075	-0.16025404880646413	0.03391142252230358	0.16968967733618606	-0.28630776758673293	
sub-06	0.023322192372798863	-0.41136465190612365	-0.009750252626044845	-0.4273138840589771	-0.11619136092381667	-0.26265435640041335	-0.4657701733241062	-0.2460929684482048	0.2012004378816995	0.11409294073000059	0.07168354359751113	0.4237180571524997	0.6276824171262098	0.5671594837922035	0.445900730268048	0.5123148844720748	0.37917421581906	0.34846863461255634	
sub-07	0.007677750413205464	0.00639592439470105	-0.2138779584274432	-0.020998826492590716	-0.27316256557448126	-0.23172661905515318	-0.02773468902996352	0.0003008343044190846	-0.14381239185435615	0.12109118775624057	-0.28778101926283883	-0.8344798221359898	-0.021854011359196245	-0.2335900657116113	0.04884031271072124	-0.027074457177740166	-0.07752168635446464	0.10118847742716928	
sub-08	0.1626974383518321	0.2110445724559688	0.24186516158043725	0.028258363128198256	-0.20022134759893848	-0.07652663264956729	0.19267865783173935	-0.2702327545364118	0.34118194740581875	0.1849759457283583	-0.13836561122588162	-0.36972404561829425	0.6098382868786657	0.032729095487530536	0.31014038061415045	0.3707699850746502	0.3829691137672361	0.19817168367332214	
sub-09	-0.20865994884110792	0.13121306261486565	0.052108132422294326	-0.3351928590849781	-0.09742023582239291	0.09936579705991136	0.4189800875727138	0.2903966926535243	0.2248269462610154	0.7987158611321963	0.2004365740478596	0.21500708296901316	-0.12968917211097178	-0.20855693480674983	-0.3000951566737912	-0.40933378539770987	-0.6616647005849372	-0.48252551419145173	
sub-10	0.7229779526207271	0.18237848724788167	0.1803371156256194	0.24591175364663498	0.37552503895009	0.11031858297485697	-0.11784082078536798	0.04009451042396801	-0.10136492889236487	-0.002300786598799313	-0.08958837412658144	0.021235858357083248	0.1789591449721418	0.09792649537716328	0.06575419523308634	0.23261626618351033	0.10947455292383818	0.014407690804417195	
