bids_subject	activity_acute_left-DLPFC	activity_acute_left-IFGorb	activity_acute_left-PTL	activity_acute_left-SMA	activity_acute_right-DLPFC	activity_acute_right-IFGorb	activity_subacute_left-DLPFC	activity_subacute_left-IFGorb	activity_subacute_left-PTL	activity_subacute_left-SMA	activity_subacute_right-DLPFC	activity_subacute_right-IFGorb	activity_early-chronic_left-DLPFC	activity_early-chronic_left-IFGorb	activity_early-chronic_left-PTL	activity_early-chronic_left-SMA	activity_early-chronic_right-DLPFC	activity_early-chronic_right-IFGorb	
sub-01	1.7713713660864014	2.279593735282333	2.459692845769333	2.484030706876544	2.9301086647810544	2.742402083390527	2.2220011550438055	2.675109537597017	1.471877255757267	2.3324493402641115	2.5625021195591327	2.53432874629039	2.935574385340531	3.6849868511271384	1.957248259317594	1.9458051879578244	3.1711091162525715	2.9952952777109942	
sub-02	3.6355385734511647	2.4620706323165047	2.4912224150380893	4.01413348955129	3.2122730786843516	1.494547164493867	3.7960323243963114	7.108471037685685	6.516715653005598	3.912612297574144	4.702818900293282	6.568008118211434	2.724014620468097	4.268176654315021	4.3994058362659905	3.4153639105119686	3.931416583169748	3.269910477293182	
sub-03	2.341778284226023	2.901045458213171	1.4780931290688977	2.61071165342077	3.586618559693172	4.8600531662729285	2.0425144511858115	3.0895155489937802	2.0300105092972776	2.542579833242504	2.750158050800185	4.301986233904501	2.6513411274515777	2.4579507113036776	1.783170095370333	1.957119214147431	3.095181067420115	3.3186478021783246	
sub-04	2.797528448616294	5.563101491531757	3.8938071571948054	4.176636685091161	2.684293923070411	3.501056281353098	2.1237680769671083	2.90107205512625	2.7668337013564157	2.9554546625619564	3.110070293873496	3.5744758516974255	1.5196096238555514	1.5839093701971112	1.4493097865128672	1.2910626326269403	1.4900180967841266	1.6882789752489957	
sub-05	0.22671357151195237	2.6625975890600966	1.6004790371132895	1.632169738543863	1.3985448711770692	4.0416270817821305	1.5066469183686595	3.932556464605903	1.815915079704889	2.6081812241118567	2.08434709742169	3.156276367338846	1.6618298085528742	4.063192279557304	1.3439265015849078	2.002512102951067	2.5167657645674972	3.3586432259611425	
sub-06	2.3950319852165607	2.8033913485147517	2.143425954224843	2.2414496834497526	2.402907466018648	3.680502001815331	1.2277837686641941	1.838429312060014	3.1132046393961743	1.6619718655740416	2.193645187027395	2.3864494567277386	5.011922612770037	4.629026770846429	4.383200702825968	3.3262565219261084	3.505907666513598	2.66754425390598	
sub-07	2.173274990641287	4.054152299681245	2.0795032778545406	2.9758794330088065	2.873526284928533	4.376867521182825	1.163035181078246	4.344727977924954	2.269871951180747	3.434432993066643	3.921462342734217	4.26698502289318	0.9414324485823533	4.547477614918144	3.442411052524185	1.9778279998961261	5.295796155400472	7.216547494303117	
sub-08	2.400714283635934	3.860874363478884	2.47861181521855	2.2513673276400317	2.0421659512231622	3.4945010175427274	3.2503272155404077	3.4685471290029195	3.32479279378192	2.9763599123339013	2.386680353017041	3.2672119425176764	3.650422795150604	3.43246336767281	4.014952921709651	3.0036935963136813	2.520341900500649	3.92396315377236	
sub-09	1.4430897748879432	2.139161472763809	1.665060922816508	1.4954832803782407	2.6690918595494333	2.20512448508626	2.6294972307610447	2.6026487141367634	2.2689394420120603	4.147522491497711	1.8969968765053347	2.4280060369032297	1.847562725465923	1.8881597643436583	1.1088060681860967	1.5926522075726015	1.4772280837528895	2.219749509399761	
sub-10	2.935424915624819	2.4201875588054613	1.9064981007895367	2.4257483388640053	2.6558806787480433	2.0821877117684413	2.0165452541961786	1.730334731277172	0.9134151849915483	1.938667309755884	1.6984190721788548	1.9172233712818665	2.018051336630528	2.397342085634419	1.4046418430358991	1.8846841907019178	2.0892298216899476	2.0779386820007835	
